date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:13	102622/102622	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-190de%22	https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html	(from )
11:53:14	286/286	---M--	302	error ('Found')	text/html	date:Tue,%2016%20Jan%202018%2010:52:52%20GMT	https://theme.crumina.net/robots.txt		(from )
11:53:15	3902/3902	---MCZ	200	added ('OK')	text/css	etag:W/%225a27d326-f3e%22	https://theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap-reboot.css	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap-reboot.css	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:16	29388/29388	---MCZ	200	added ('OK')	text/css	etag:W/%225a27d326-72cc%22	https://theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap-grid.css	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap-grid.css	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:17	124849/124849	---MCZ	200	added ('OK')	text/css	etag:W/%225a27d326-1e7b1%22	https://theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap.css	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/Bootstrap/dist/css/bootstrap.css	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:17	27557/27557	---MCZ	200	added ('OK')	text/css	etag:W/%225a27d309-6ba5%22	https://theme.crumina.net/html-olympus/css/fonts.min.css	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/css/fonts.min.css	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:18	265497/265497	---MCZ	200	added ('OK')	text/css	etag:W/%225a27d309-40d19%22	https://theme.crumina.net/html-olympus/css/main.min.css	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/css/main.min.css	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:19	12443/12443	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a27d30e-309b%22	https://theme.crumina.net/html-olympus/js/webfontloader.min.js	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/js/webfontloader.min.js	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:21	90104/90104	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2cf-15ff8%22	https://theme.crumina.net/html-olympus/28-YourAccount-PersonalInformation.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/28-YourAccount-PersonalInformation.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:22	39070/39070	---M--	200	added ('OK')	image/svg+xml	etag:%225a27d322-989e%22	https://theme.crumina.net/html-olympus/svg-icons/sprites/icons.svg	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/svg-icons/sprites/icons.svg	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:23	86462/86462	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-151be%22	https://theme.crumina.net/html-olympus/29-YourAccount-AccountSettings.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/29-YourAccount-AccountSettings.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:24	85011/85011	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-14c13%22	https://theme.crumina.net/html-olympus/30-YourAccount-ChangePassword.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/30-YourAccount-ChangePassword.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:26	86224/86224	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-150d0%22	https://theme.crumina.net/html-olympus/31-YourAccount-HobbiesAndInterests.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/31-YourAccount-HobbiesAndInterests.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:26	90550/90550	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-161b6%22	https://theme.crumina.net/html-olympus/32-YourAccount-EducationAndEmployement.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/32-YourAccount-EducationAndEmployement.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:29	91281/91281	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-16491%22	https://theme.crumina.net/html-olympus/33-YourAccount-Notifications.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/33-YourAccount-Notifications.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:29	88154/88154	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-1585a%22	https://theme.crumina.net/html-olympus/35-YourAccount-FriendsRequests.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/35-YourAccount-FriendsRequests.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:32	95556/95556	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2ce-17544%22	https://theme.crumina.net/html-olympus/36-FavPage-SettingsAndCreatePopup.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/36-FavPage-SettingsAndCreatePopup.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:34	140051/140051	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2d1-22313%22	https://theme.crumina.net/html-olympus/02-ProfilePage.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/02-ProfilePage.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:34	616/616	---M--	200	added ('OK')	image/png	etag:%225a27d2f6-268%22	https://theme.crumina.net/html-olympus/img/logo.png	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/img/logo.png	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:36	142988/142988	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2d1-22e8c%22	https://theme.crumina.net/html-olympus/03-Newsfeed.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/03-Newsfeed.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:36	111497/111497	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2cf-1b389%22	https://theme.crumina.net/html-olympus/16-FavPagesFeed.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/16-FavPagesFeed.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:39	96515/96515	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2cf-17903%22	https://theme.crumina.net/html-olympus/17-FriendGroups.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/17-FriendGroups.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
11:53:40	123732/123732	---MCZ	200	added ('OK')	text/html	etag:W/%225a27d2cf-1e354%22	https://theme.crumina.net/html-olympus/18-MusicAndPlaylists.html	C:/Users/ioedeveloper/source/repos/ChatAppDemo/ChatAppTemplate/ChatDemo/theme.crumina.net/html-olympus/18-MusicAndPlaylists.html	(from https://theme.crumina.net/html-olympus/34-YourAccount-ChatMessages.html)
